fips,county,state,value_zhvi,value_month,rent_mo,rent_basis,rent_month,tax_rate,tax_rate_source,prem2021_SOURCED,prem2022_SOURCED,prem2025_MODELED,gross_yield_pct,cap_at_2021_ins_pct_MODELED,cap_at_current_ins_pct_MODELED,insurance_drag_bps,ins_pct_of_rent,nonrenew2023_pct
01001,Autauga,AL,263768,2026-05,1855,ZORI,2026-05,0.00285,ACS,1725,1739,2293,8.44,5.56,5.34,22,10.3,0.65
01003,Baldwin,AL,373124,2026-05,1663,ZORI,2026-05,0.00307,ACS,2914,2585,3409,5.35,3.03,2.9,13,17.1,0.93
01005,Barbour,AL,151430,2026-05,1017,FMR3,FY26,0.00378,ACS,1904,1850,2440,8.06,4.57,4.22,35,20.0,0.98
01007,Bibb,AL,219896,2026-05,1583,FMR3,FY26,0.00204,ACS,1831,1793,2364,8.64,5.61,5.37,24,12.4,0.72
01009,Blount,AL,233814,2026-05,1454,ZORI,2026-05,0.00299,ACS,1835,1834,2419,7.46,4.66,4.41,25,13.9,0.76
01011,Bullock,AL,131142,2026-05,930,FMR3,FY26,0.00389,ACS,2136,2013,2654,8.51,4.53,4.14,39,23.8,1.49
01013,Butler,AL,117593,2026-05,1004,FMR3,FY26,0.00343,ACS,1755,1746,2302,10.25,6.05,5.59,47,19.1,0.82
01015,Calhoun,AL,170650,2026-05,1028,ZORI,2026-05,0.00408,ACS,1724,1718,2266,7.23,4.15,3.83,32,18.4,0.81
01017,Chambers,AL,141077,2026-05,1265,FMR3,FY26,0.00382,ACS,1706,1687,2225,10.76,6.69,6.33,37,14.7,0.71
01019,Cherokee,AL,228938,2026-05,1012,FMR3,FY26,0.00388,ACS,1730,1718,2265,5.3,2.94,2.71,23,18.7,0.68
01021,Chilton,AL,223392,2026-05,1480,ZORI,2026-05,0.00336,ACS,1744,1754,2314,7.95,5.01,4.75,26,13.0,0.7
01023,Choctaw,AL,123194,2026-05,1024,FMR3,FY26,0.00178,ACS,1891,1873,2470,9.97,5.97,5.5,47,20.1,1.04
01025,Clarke,AL,140659,2026-05,1034,FMR3,FY26,0.00307,ACS,2030,1995,2631,8.82,5.04,4.61,43,21.2,1.04
01027,Clay,AL,181736,2026-05,1024,FMR3,FY26,0.00225,ACS,1768,1707,2252,6.76,4.01,3.74,27,18.3,0.79
01029,Cleburne,AL,237064,2026-05,1082,FMR3,FY26,0.00289,ACS,1696,1692,2231,5.48,3.21,2.99,23,17.2,1.26
01031,Coffee,AL,184979,2026-05,1413,ZORI,2026-05,0.00341,ACS,1935,1895,2500,9.17,5.67,5.37,31,14.7,0.89
01033,Colbert,AL,202189,2026-05,1076,ZORI,2026-05,0.00374,ACS,1842,1849,2438,6.39,3.63,3.34,29,18.9,0.83
01035,Conecuh,AL,131874,2026-05,1079,FMR3,FY26,0.00324,ACS,1970,1942,2561,9.82,5.74,5.29,45,19.8,0.67
01037,Coosa,AL,186618,2026-05,1079,FMR3,FY26,0.00271,ACS,1772,1784,2353,6.94,4.12,3.81,31,18.2,0.78
01039,Covington,AL,157840,2026-05,999,FMR3,FY26,0.00251,ACS,1974,1967,2594,7.6,4.35,3.95,39,21.6,0.61
01041,Crenshaw,AL,142994,2026-05,930,FMR3,FY26,0.0032,ACS,1735,1723,2272,7.8,4.48,4.1,38,20.4,1.15
01043,Cullman,AL,258586,2026-05,1353,ZORI,2026-05,0.00253,ACS,1938,1931,2547,6.28,3.83,3.59,24,15.7,0.78
01045,Dale,AL,162155,2026-05,1276,ZORI,2026-05,0.0033,ACS,1888,1872,2469,9.44,5.78,5.42,36,16.1,0.94
01047,Dallas,AL,90663,2026-05,1103,FMR3,FY26,0.00424,ACS,1929,1975,2605,14.6,8.69,7.94,75,19.7,1.58
01049,DeKalb,AL,215342,2026-05,992,FMR3,FY26,0.00338,ACS,1745,1764,2327,5.53,3.11,2.84,27,19.5,0.84
01051,Elmore,AL,273065,2026-05,1517,ZORI,2026-05,0.00264,ACS,1782,1787,2356,6.66,4.22,4.01,21,12.9,0.64
01053,Escambia,AL,143998,2026-05,972,FMR3,FY26,0.00395,ACS,2149,2106,2778,8.1,4.35,3.91,44,23.8,0.64
01055,Etowah,AL,184703,2026-05,1221,ZORI,2026-05,0.00364,ACS,1785,1783,2352,7.93,4.78,4.47,31,16.1,0.82
01057,Fayette,AL,146230,2026-05,1079,FMR3,FY26,0.00286,ACS,1954,1933,2549,8.85,5.2,4.79,41,19.7,0.81
01059,Franklin,AL,181065,2026-05,976,FMR3,FY26,0.00337,ACS,1808,1812,2390,6.47,3.64,3.32,32,20.4,0.94
