GEO_ID|B25077_E001|B25077_M001
0100000US|303400|362
0100089US|175400|2663
0100090US|310300|44761
0100091US|175500|1244
0100092US|592200|10870
0100093US|295700|3592
0100094US|173500|2245
0100095US|456600|14003
01000A0US|317100|333
01000C0US|335300|280
01000C1US|338800|529
01000C2US|333900|335
01000E0US|192900|434
01000E1US|176800|821
01000E2US|199800|449
01000G0US|161300|507
01000H0US|180100|331
010C201US|334400|249
010C243US|231400|323
0200000US1|355800|557
0200000US2|227100|280
0200000US3|265200|339
0200000US4|521200|834
02000A0US1|362800|582
02000A0US2|235100|310
02000A0US3|275700|333
02000A0US4|532100|850
02000C0US1|380700|621
02000C0US2|245800|335
02000C0US3|288000|357
02000C0US4|552200|790
02000C1US1|411000|2630
02000C1US2|220600|539
02000C1US3|276400|587
02000C1US4|556300|1393
02000C2US1|376200|637
02000C2US2|256900|481
02000C2US3|293100|443
02000C2US4|549500|943
02000E0US1|198400|945
02000E0US2|174700|572
02000E0US3|170900|744
02000E0US4|334700|2080
02000E1US1|168300|2277
02000E1US2|154500|937
02000E1US3|165900|1348
02000E1US4|292700|2871
02000E2US1|204800|1078
02000E2US2|186600|580
02000E2US3|173000|811
02000E2US4|359000|2595
02000G0US1|191100|1436
02000G0US2|154200|647
02000G0US3|141100|936
02000G0US4|274900|2134
02000H0US1|196200|794
02000H0US2|166300|389
02000H0US3|158400|548
02000H0US4|314600|1772
020C201US1|386200|721
020C201US2|233100|339
020C201US3|289300|391
020C201US4|542000|831
020C243US1|266900|767
020C243US2|212500|506
020C243US3|203600|570
020C243US4|417000|1615
0300000US1|402800|1054
0300000US2|331400|740
0300000US3|222400|310
0300000US4|237300|437
0300000US5|303000|626
0300000US6|209100|698
0300000US7|237100|512
0300000US8|396300|843
0300000US9|630400|840
03000A0US1|414800|1049
03000A0US2|337400|759
03000A0US3|227700|327
03000A0US4|253000|532
03000A0US5|313300|559
03000A0US6|221700|743
03000A0US7|244700|564
03000A0US8|404400|955
03000A0US9|636300|858
03000C0US1|431200|1059
03000C0US2|358100|782
03000C0US3|237600|377
03000C0US4|267800|624
03000C0US5|323800|591
03000C0US6|238100|768
03000C0US7|254300|714
03000C0US8|416400|912
03000C0US9|652100|821
03000C1US1|384000|3053
03000C1US2|429000|3441
03000C1US3|205800|827
03000C1US4|245300|1008
03000C1US5|324100|1207
03000C1US6|237200|1325
03000C1US7|244300|854
03000C1US8|401300|1265
03000C1US9|698500|1422
03000C2US1|439500|1187
03000C2US2|348300|725
03000C2US3|248500|470
03000C2US4|280100|683
03000C2US5|323700|595
03000C2US6|238500|914
03000C2US7|261900|767
03000C2US8|430000|1196
03000C2US9|623900|989
03000E0US1|282200|1826
03000E0US2|161800|922
03000E0US3|168500|617
03000E0US4|188300|997
03000E0US5|190200|1276
03000E0US6|162200|1321
03000E0US7|156300|1149
03000E0US8|289900|2500
03000E0US9|382100|2760
03000E1US1|238200|3956
03000E1US2|128400|2739
03000E1US3|137900|1356
03000E1US4|174300|1231
03000E1US5|188300|2792
03000E1US6|168500|2013
03000E1US7|151200|1937
03000E1US8|262900|2934
03000E1US9|351400|4280
03000E2US1|292100|1955
03000E2US2|168100|978
03000E2US3|181100|672
03000E2US4|203700|1462
03000E2US5|190600|1465
03000E2US6|159700|1541
03000E2US7|160100|1666
03000E2US8|313900|4658
03000E2US9|394300|3554
03000G0US1|221500|2214
03000G0US2|167800|1411
03000G0US3|156100|846
03000G0US4|152100|977
03000G0US5|159100|1367
03000G0US6|123900|885
03000G0US7|133500|1493
03000G0US8|246000|2271
03000G0US9|331100|3425
03000H0US1|260200|1489
03000H0US2|163300|768
03000H0US3|164200|441
03000H0US4|169700|684
03000H0US5|176300|979
03000H0US6|147200|1093
03000H0US7|146900|974
03000H0US8|274200|2043
03000H0US9|368600|2083
030C201US1|428100|1176
030C201US2|368000|877
030C201US3|226200|364
030C201US4|249000|598
030C201US5|329700|579
030C201US6|235100|785
030C201US7|249900|682
030C201US8|403800|949
030C201US9|650300|908
030C243US1|345300|1505
030C243US2|232300|839
030C243US3|212600|611
030C243US4|212300|936
030C243US5|227400|822
030C243US6|176600|892
030C243US7|193600|970
030C243US8|349400|2410
030C243US9|475200|1933
0400000US01|195100|1110
0400000US02|333300|3665
0400000US04|358900|1200
0400000US05|175300|1508
0400000US06|695400|1030
0400000US08|502200|2298
0400000US09|343200|1807
0400000US10|326800|3051
0400000US11|724600|9892
0400000US12|325000|895
0400000US13|272900|1058
0400000US15|808200|6690
0400000US16|376000|2962
0400000US17|250500|863
0400000US18|201600|922
0400000US19|195900|929
0400000US20|203400|1329
0400000US21|192300|1018
0400000US22|208700|1365
0400000US23|266400|2109
0400000US24|397700|1433
0400000US25|525800|2244
0400000US26|217600|692
0400000US27|305500|890
0400000US28|161400|1296
0400000US29|215600|942
0400000US30|338100|3741
0400000US31|223800|1268
0400000US32|406100|2207
0400000US33|367200|2362
0400000US34|427600|1335
0400000US35|232200|1548
0400000US36|403000|1347
