fips,county,state,prem2018,prem2019,prem2020,prem2021,prem2022,prem2023_MODELED,prem2024_MODELED,prem2025_MODELED,prem_growth_pct_18_22,nonrenew2018,nonrenew2019,nonrenew2020,nonrenew2021,nonrenew2022,nonrenew2023,loss_ratio_avg,claim_freq_avg,decl_since2000,decl_2021plus,repricing_index_MODELED
01001,Autauga,AL,1692.0,1677.0,1729.0,1725.0,1739.0,1959.0,2163.0,2293.0,2.8,0.0137,0.0049,0.0029,0.0031,0.0056,0.0065,0.554,0.077,16,2,41.2
01003,Baldwin,AL,2775.0,2714.0,2837.0,2914.0,2585.0,2913.0,3216.0,3409.0,-6.8,0.0029,0.0039,0.0049,0.0064,0.0244,0.0093,0.473,0.059,23,1,31.1
01005,Barbour,AL,1848.0,1882.0,1869.0,1904.0,1850.0,2085.0,2302.0,2440.0,0.1,0.0121,0.0077,0.0057,0.0065,0.0043,0.0098,0.424,0.0641,18,2,38.0
01007,Bibb,AL,1770.0,1772.0,1780.0,1831.0,1793.0,2020.0,2230.0,2364.0,1.3,0.0119,0.0061,0.0024,0.0087,0.0063,0.0072,0.644,0.0575,14,2,43.2
01009,Blount,AL,1787.0,1793.0,1813.0,1835.0,1834.0,2067.0,2282.0,2419.0,2.6,0.0091,0.0074,0.0036,0.0041,0.0064,0.0076,0.583,0.0599,17,1,41.5
01011,Bullock,AL,2146.0,2185.0,2133.0,2136.0,2013.0,2268.0,2504.0,2654.0,-6.2,0.0054,0.0106,0.0043,0.01,0.0089,0.0149,0.374,0.0408,16,1,34.7
01013,Butler,AL,1758.0,1729.0,1748.0,1755.0,1746.0,1967.0,2172.0,2302.0,-0.7,0.0044,0.004,0.003,0.007,0.0059,0.0082,0.314,0.0473,19,1,24.6
01015,Calhoun,AL,1688.0,1692.0,1695.0,1724.0,1718.0,1937.0,2138.0,2266.0,1.8,0.0127,0.0134,0.0077,0.0067,0.0072,0.0081,0.649,0.0692,14,2,44.7
01017,Chambers,AL,1658.0,1679.0,1703.0,1706.0,1687.0,1901.0,2099.0,2225.0,1.7,0.0082,0.007,0.0041,0.0119,0.0113,0.0071,0.388,0.0584,14,3,37.3
01019,Cherokee,AL,1716.0,1708.0,1705.0,1730.0,1718.0,1936.0,2137.0,2265.0,0.1,0.0052,0.0054,0.003,0.0069,0.0061,0.0068,0.451,0.0427,17,1,28.3
